Код сотрудника,Не важные миссии,Полезные миссии,Очень полезные миссии,Выполнил Креативный класс,Выполнил HiPo,Выполнил HiPro,Выполнил Звезда департамента,Факт. департамент,Факт. подразделение,Факт. группа,Факт. должность,Является РМ/ТЛ,Стаж фактический по компании,Пол,Возраст,Эффективность,Всего миссий,Среднее миссий на сотрудника,Продуктивность сотрудника
SU3688,3,7,3,False,False,True,True,Департамент инфраструктурных решений и сервисов,группа технических менеджеров по сопровождению программной инфраструктуры,Не указано,"Старший технический менеджер, Тимлид",True,"16 г., 5 мес.,13 дн.",Мужской,41.0,False,13,20.005903574942604,0.51
SU3692,3,14,0,False,False,False,False,Департамент инженерных и мультимедийных систем,технические менеджеры по инженерным системам,Не указано,Технический менеджер,True,"22 г., 11 мес.,27 дн.",Мужской,52.0,True,17,20.005903574942604,0.7
SU3698,3,11,1,False,False,True,False,Департамент телекоммуникаций,Сервис,Инженеры технической поддержки (аутсорсинг),Ведущий инженер технической поддержки,True,"18 г., 0 мес.,20 дн.",Мужской,43.0,True,15,20.005903574942604,0.6
SU37123,0,6,2,False,True,False,False,Департамент инженерных и мультимедийных систем,группа управления сервисными проектами,Не указано,Сервис-менеджер,True,"14 г., 9 мес.,6 дн.",Мужской,41.0,False,8,20.005903574942604,0.41
SU37403,4,4,2,True,False,False,False,Департамент разработки программного обеспечения,Управление контентом и документооборот,Не указано,Руководитель направления «Управление контентом и документооборот»,True,"14 г., 8 мес.,24 дн.",Мужской,37.0,False,10,20.005903574942604,0.31
SU3784,0,4,0,False,False,False,False,Департамент телекоммуникаций,Цифровое производство,группа инженеров цифрового производства,Эксперт,True,"15 г., 10 мес.,17 дн.",Мужской,50.0,False,4,20.005903574942604,0.2
SU3789,0,2,0,False,False,False,False,Транспортный отдел,Не указано,Группа обеспечения перевозки сотрудников,Водитель,True,"11 г., 11 мес.,15 дн.",Мужской,45.0,False,2,20.005903574942604,0.1
SU3791,0,1,0,False,False,False,False,Административно-эксплуатационный департамент,Отдел по эксплуатации инженерных систем,Не указано,Диспетчер,True,"15 г., 10 мес.,20 дн.",Мужской,72.0,False,1,20.005903574942604,0.05
SU37925,2,0,1,False,True,False,False,Департамент телекоммуникаций,Сервис,группа развития,Менеджер по продвижению решений,True,"14 г., 8 мес.,17 дн.",Мужской,36.0,False,3,20.005903574942604,0.05
SU38243,0,11,1,False,False,True,False,Департамент разработки программного обеспечения,Управление контентом и документооборот,группа аналитиков,Старший системный аналитик,True,"14 г., 7 мес.,22 дн.",Женский,37.0,True,12,20.005903574942604,0.6
